day,date,rac_marginalised,mean_infectivity_marginalised,rac_plain,mean_infectivity_plain,rac_marginalised_reseeded,mean_infectivity_marginalised_reseeded,latent_was_rebuilt
27,2018-05-02,0.9999932709897645,0.0,0.9999933563703434,0.0,0.9999873091300229,0.0,False
28,2018-05-03,0.9999982424697,3.1759342766571033,0.9999984932235759,3.151889544331595,0.9999966761932834,3.2547902999091565,False
29,2018-05-04,0.9999998726378501,7.781081315671687,0.9999998771596333,7.633424878830316,0.9999999483320703,7.686987719987562,False
30,2018-05-05,0.9999998730332734,2.6225737496247783,0.9999999100892514,2.8060643074516762,0.9999999386230176,2.496602290062979,False
31,2018-05-06,0.9999998191570559,1.251998100711766,0.9999998841051443,1.262043341953278,0.999999940279881,1.2732528797618246,False
32,2018-05-07,0.9999997383262503,1.2088310916436984,0.9999998304398307,1.1192669662597319,0.9999999235388453,1.2191208876714115,False
33,2018-05-08,0.9999997967861347,0.956044214334511,0.9999997989800015,1.0634080912102284,0.9999998818018606,0.9663234220196877,False
34,2018-05-09,0.9999995883517346,0.0,0.9999995879074977,0.0,0.9999997347346316,0.0,False
35,2018-05-10,0.9999996076120223,2.0772717744387554,0.9999998055604015,2.1251005771488325,0.9999997153532335,2.0608096124238644,False
36,2018-05-11,0.9999992132941138,0.0,0.9999995776272166,0.0,0.9999993892403428,0.0,False
37,2018-05-12,0.9999987154922254,0.5164550731551097,0.9999992324032511,0.5155147798769224,0.9999989187167245,0.5021101418799122,False
38,2018-05-13,0.9999981203334923,0.8786875732313516,0.9999988279214528,0.8534706152401406,0.9999985874704073,0.8549631261700453,False
39,2018-05-14,0.9999971490289435,0.7480409335708509,0.9999980845262656,0.7422984731208825,0.9999976793849791,0.7563034014051095,False
40,2018-05-15,0.9999962031885254,1.041805676002681,0.9999973665252821,1.0275718130886833,0.9999969840606727,0.993073525283752,False
41,2018-05-16,0.9999946432598532,0.9074429266210773,0.9999966993613447,0.9444332574266124,0.9999959773511622,0.9365480869768608,False
42,2018-05-17,0.9999904037991288,0.0,0.99999367836159,0.0,0.9999924167609857,0.0,False
43,2018-05-18,0.9999859071948912,0.5368550534386853,0.9999902330670342,0.5424143113574861,0.9999887517933467,0.5457642190917812,False
44,2018-05-19,0.9999794942816614,0.5120020085777611,0.9999849031795607,0.49933396558804277,0.9999833915100655,0.5161868699534274,False
45,2018-05-20,0.9999734861716324,0.726498852985826,0.9999796245855967,0.7427618108333387,0.9999777937676959,0.7352986915700208,False
46,2018-05-21,0.9999635968118696,0.48671097698155846,0.9999723865633454,0.46960779321925844,0.9999694180449128,0.4804009793570153,False
47,2018-05-22,0.9999387377871958,0.0,0.9999515095063225,0.0,0.99994711177087,0.0,False
48,2018-05-23,0.9998977581366209,0.0,0.9999156373334579,0.0,0.9999093984737557,0.0,False
49,2018-05-24,0.9998308297766139,0.0,0.999854726090248,0.0,0.9998463704918927,0.0,False
50,2018-05-25,0.9997226804979017,0.0,0.9997527952589127,0.0,0.9997424584151189,0.0,False
51,2018-05-26,0.9995499680191271,0.0,0.9995850619747415,0.0,0.9995737188692074,0.0,False
52,2018-05-27,0.9992776789278723,0.0,0.999314128196937,0.0,0.9993041634938482,0.0,False
53,2018-05-28,0.9989825720101301,0.22343969893613527,0.999007603649495,0.22744069529879513,0.9990013527621708,0.21681437882617274,False
54,2018-05-29,0.9984093451254902,0.0,0.9984174192908325,0.0,0.9984228087593413,0.0,False
55,2018-05-30,0.9975470346151832,0.0,0.9975219231499945,0.0,0.9975482126826883,0.0,False
56,2018-05-31,0.9962712347101521,0.0,0.9961914819675121,0.0,0.9962502402717422,0.0,False
57,2018-06-01,0.9944172762986214,0.0,0.994256888456822,0.0,0.994361011393224,0.0,False
58,2018-06-02,0.9926402172656371,0.1992582266334584,0.9924966462422096,0.21040784860234638,0.9925898091690327,0.20648483405469942,True
59,2018-06-03,0.9893739176173667,0.0,0.989144440116981,0.0,0.9892790072562199,0.0,False
60,2018-06-04,0.9849100934484373,0.0,0.9845834588620855,0.0,0.9847595989457948,0.0,False
61,2018-06-05,0.9789294658534713,0.0,0.978503470052801,0.0,0.9787150077977734,0.0,False
62,2018-06-06,0.9710795485860819,0.0,0.970564480303056,0.0,0.97079798470083,0.0,False
63,2018-06-07,0.9609895732594399,0.0,0.960410476142452,0.0,0.9606453631075166,0.0,False
64,2018-06-08,0.9482916185794187,0.0,0.9476887395288721,0.0,0.9478984555982513,0.0,False
65,2018-06-09,0.9326462802044648,0.0,0.9320733051740457,0.0,0.9322274579327179,0.0,False
66,2018-06-10,0.9137705941740628,0.0,0.9132906642236814,0.0,0.9133577813717279,0.0,False
67,2018-06-11,0.8914652245821671,0.0,0.8911451667825794,0.0,0.8910956463561568,0.0,False
68,2018-06-12,0.8656376673949782,0.0,0.8655412589164491,0.0,0.8653500477713939,0.0,False
69,2018-06-13,0.8363185052816812,0.0,0.8364998092932405,0.0,0.8361484266209035,0.0,False
70,2018-06-14,0.8036685460042484,0.0,0.804166350295165,0.0,0.8036440367130359,0.0,False
71,2018-06-15,0.7679758420910273,0.0,0.7688099984518252,0.0,0.768113967206785,0.0,False
72,2018-06-16,0.7296428955685113,0.0,0.7308129701781918,0.0,0.7299479038141652,0.0,False
73,2018-06-17,0.6891655539406533,0.0,0.690651766446168,0.0,0.6896287971668335,0.0,False
74,2018-06-18,0.6471060005617972,0.0,0.6488720614364066,0.0,0.6477074876040996,0.0,False
75,2018-06-19,0.604062716134423,0.0,0.6060599416630403,0.0,0.604773886850556,0.0,False
76,2018-06-20,0.5606403175391343,0.0,0.562812331102568,0.0,0.56142747860241,0.0,False
77,2018-06-21,0.5174218290317141,0.0,0.5197092216398127,0.0,0.5182496856348584,0.0,False
78,2018-06-22,0.47494532661285116,0.0,0.47728979779168623,0.0,0.47578014059668194,0.0,False
79,2018-06-23,0.43368615591366233,0.0,0.4360338338356323,0.0,0.43449821292132906,0.0,False
80,2018-06-24,0.39404518395756494,0.0,0.3963489904415196,0.0,0.39481041624735713,0.0,False
81,2018-06-25,0.35634290345365094,0.0,0.35856396358191345,0.0,0.3570436605981693,0.0,False
