day,date,simulated_here,dlo_analytic,dlo_simulated,sse_analytic,sse_simulated,cori_analytic,cori_simulated,ssi_mcmc_smoothed,ssi_particle_smoothed,ssi_particle_filtering,ssi_mcmc_standard_error
28,2018-05-03,0.0,0.9995372034811449,,0.985756897159898,,0.9999999760255182,,0.9999992479607421,0.9999985630702535,0.9955714454656698,8.255775280578373e-08
29,2018-05-04,0.0,0.9999568905000105,,0.9986212328145572,,0.9999999999984354,,0.9999999982910971,0.9999999989734195,0.9999983267571353,6.747042384183057e-10
30,2018-05-05,1.0,0.9999712343416628,1.0,0.9992435295341118,0.99915,0.9999999999998687,1.0,0.9999999998448814,0.9999999999512699,0.9999988321889917,9.018333464508456e-11
31,2018-05-06,0.0,0.9999713456816818,,0.9993444578534696,,0.9999999999999273,,0.9999999999045307,0.999999999950011,0.9999984696238604,4.944867696305804e-11
32,2018-05-07,0.0,0.9999710202091255,,0.9994129933945969,,0.9999999999999539,,0.999999999977896,0.9999999999431604,0.9999979069582599,9.43492892474138e-12
33,2018-05-08,1.0,0.9999703089213458,1.0,0.9994570465359696,0.99935,0.9999999999999666,1.0,0.9999999999898856,0.9999999999513591,0.9999979081646156,4.3321520678677865e-12
34,2018-05-09,0.0,0.9999552877027184,,0.9992057058895175,,0.9999999999998394,,0.9999999999592799,0.999999999805822,0.9999965694569735,1.7112568629743194e-11
35,2018-05-10,0.0,0.999978098230872,,0.9996715110084009,,0.9999999999999958,,0.9999999999831432,0.9999999999980241,0.9999979027490756,4.3879984410657105e-12
36,2018-05-11,0.0,0.999966395803726,,0.9994966385192164,,0.9999999999999756,,0.9999999999270063,0.9999999999904161,0.9999966561494511,1.9422560590576022e-11
37,2018-05-12,0.0,0.9999646712458159,,0.999488642226443,,0.9999999999999739,,0.9999999999124943,0.9999999999758876,0.9999962824160734,5.794507587668729e-11
38,2018-05-13,0.0,0.9999742547399378,,0.9996567546206238,,0.999999999999995,,0.999999999963856,0.9999999999775457,0.9999968772162435,4.9616326964265374e-12
39,2018-05-14,0.0,0.9999805940333901,,0.9997665764173362,,0.999999999999999,,0.9999999998970742,0.9999999999324896,0.9999981478694965,8.803116499215557e-12
40,2018-05-15,1.0,0.9999891486135314,1.0,0.9998952375409209,0.9998,1.0,1.0,0.999999999860234,0.99999999996249,0.9999990781744631,5.35154249471272e-11
41,2018-05-16,0.0,0.9999934558229532,,0.9999521710315745,,1.0,,0.9999999997849018,0.9999999999182544,0.9999999998608304,8.268126287715119e-11
42,2018-05-17,0.0,0.9999896122959956,,0.9999191880185677,,1.0,,0.9999999991025482,0.9999999995795958,0.9999999995949053,2.781619803411257e-10
43,2018-05-18,0.0,0.9999913699173996,,0.9999409379838197,,1.0,,0.9999999979654072,0.9999999990582134,0.9999999999132417,3.250260068607354e-10
44,2018-05-19,0.0,0.9999926877896325,,0.9999559980238099,,1.0,,0.9999999949997787,0.9999999974784604,0.9999999998843005,1.1225706685689937e-09
45,2018-05-20,0.0,0.9999953086718285,,0.9999782640556206,,1.0,,0.9999999915019513,0.9999999960054113,0.999999999809641,1.0211199883209742e-09
46,2018-05-21,0.0,0.9999957968062838,,0.9999831776668697,,1.0,,0.999999979391408,0.9999999893440416,0.9999999998445134,3.564107791561223e-09
47,2018-05-22,0.0,0.9999931346574529,,0.9999686563402491,,1.0,,0.9999999306546452,0.9999999569131528,0.9999999994195758,8.759052816700149e-09
48,2018-05-23,0.0,0.9999887379895087,,0.9999406503450555,,1.0,,0.9999997757823971,0.9999998394290583,0.9999999979425485,2.0594846789289987e-08
49,2018-05-24,0.0,0.9999814832277195,,0.9998866338327299,,1.0,,0.999999305818578,0.9999994474691541,0.9999999931048115,4.6450136885557216e-08
50,2018-05-25,1.0,0.999969555584352,0.99995,0.9997834681119829,0.99985,0.9999999999999992,1.0,0.9999979494582674,0.9999982392859286,0.9999999781759612,1.0052667985425076e-07
51,2018-05-26,0.0,0.9999500558002866,,0.9995899090623195,,0.9999999999999895,,0.9999942380912604,0.9999947844361572,0.9999997475196325,2.084592605083664e-07
52,2018-05-27,0.0,0.9999184124378017,,0.9992355462047462,,0.9999999999998628,,0.9999846309291737,0.9999855799530685,0.9999992555938094,4.1376376788200336e-07
53,2018-05-28,0.0,0.9999149410298389,,0.9990921148886106,,0.9999999999997211,,0.9999687014822979,0.9999709894474592,0.999998654115717,1.348652392057474e-06
54,2018-05-29,0.0,0.9998628345330955,,0.9983839836727111,,0.9999999999969871,,0.9999246014843168,0.9999286272803972,0.9999964121261712,2.5794330482723904e-06
55,2018-05-30,0.0,0.9997805605754212,,0.9971996274491587,,0.999999999970865,,0.9998279190776477,0.999834497668684,0.9999908948822217,4.719284267324038e-06
56,2018-05-31,0.0,0.9996520467213982,,0.9952841663100398,,0.9999999997496469,,0.9996275039552449,0.9996373154495264,0.9999779723013686,8.275181502210281e-06
57,2018-06-01,0.0,0.9994537062046609,,0.9922950367664329,,0.9999999981011111,,0.999234301292329,0.9992472853150661,0.9999491562103358,1.3929360612818979e-05
58,2018-06-02,0.0,0.9995186958227109,,0.992054109608085,,0.9999999978438097,,0.9987533579556976,0.9987107311270875,0.9999266841830408,2.198511338483586e-05
59,2018-06-03,0.0,0.9992605120999044,,0.9877800830120127,,0.9999999872606486,,0.9976802561408588,0.997597429890344,0.9998449849600668,3.42943519832775e-05
60,2018-06-04,1.0,0.9988763419637654,0.9987,0.9817310825269415,0.98085,0.9999999330235461,1.0,0.9958767491472788,0.9957288415445766,0.9987979845483327,5.17445317689903e-05
61,2018-06-05,0.0,0.9983118446937551,,0.9734210517577261,,0.9999996852857262,,0.9929852296045043,0.9927397014745338,0.9978205209400988,7.543797125826712e-05
62,2018-06-06,0.0,0.9974935534076023,,0.9623458534644452,,0.9999986749174438,,0.9885552503087097,0.9881730858945638,0.9962145247061924,0.00010615219892714926
63,2018-06-07,0.0,0.9963242102553732,,0.9480218976854758,,0.9999949873455217,,0.9820574010311969,0.9814958458158001,0.9936897907478204,0.000144114018767449
64,2018-06-08,0.0,0.9946780331802074,,0.9300326714645997,,0.9999829088163106,,0.9729140700136586,0.972130652121558,0.9898850659710772,0.00018887364664993013
65,2018-06-09,0.0,0.9923963592375684,,0.908074754364629,,0.9999472774933943,,0.9605454985274505,0.9595027291137002,0.9843782493153022,0.0002393246934923136
66,2018-06-10,0.0,0.9892843314698623,,0.8819962911916137,,0.9998522170237323,,0.9444258513317835,0.9430958046474913,0.976708112658293,0.00029385826064263506
67,2018-06-11,0.0,0.9851094444041731,,0.8518219354426487,,0.9996217789115756,,0.9241411732271739,0.9225091599735394,0.9664065029856147,0.00035058774366859006
68,2018-06-12,0.0,0.9796028377128015,,0.817760587205106,,0.9991116176383313,,0.8994400629325241,0.8975068096817842,0.9530376170589725,0.0004075618116198392
69,2018-06-13,0.0,0.9724641828732404,,0.7801952060742141,,0.9980745852825422,,0.8702689863163939,0.8680510447002949,0.9362391328642051,0.00046290521865104275
70,2018-06-14,1.0,0.9633708058522089,0.96555,0.7396568382682547,0.73655,0.9961282880632567,0.99585,0.8367870121621525,0.8343154520085374,0.9157592739412033,0.0005148756432949907
71,2018-06-15,0.0,0.9519913125943131,,0.6967871386603368,,0.9927368879752849,,0.799358533878087,0.7966762462093714,0.891484470627741,0.0005618700081718377
72,2018-06-16,0.0,0.9380034488169059,,0.6522947569258283,,0.9872198837089062,,0.7585262366505648,0.7556843390921797,0.863453970409246,0.0006024307867698997
73,2018-06-17,0.0,0.9211152866550376,,0.606910971690358,,0.9787956402604332,,0.7149693596219662,0.7120232472241926,0.8318600469905284,0.000635287189344212
74,2018-06-18,0.0,0.9010881817844163,,0.5613491217196714,,0.9666580635222833,,0.6694537489917993,0.6664592846537223,0.7970347692889993,0.0006594337981790933
75,2018-06-19,0.0,0.8777594051112387,,0.5162710475907805,,0.950074484552962,,0.6227802789679299,0.6197905023834376,0.7594261127572444,0.000674222160601398
76,2018-06-20,0.0,0.8510620447555893,,0.4722622763031513,,0.928485673572977,,0.5757372262017725,0.5727998153004891,0.7195672384250174,0.000679431862978236
77,2018-06-21,0.0,0.8210397920582828,,0.4298163352782435,,0.9015876570714766,,0.5290605654881597,0.5262161415880061,0.6780429877804912,0.0006752958846714949
78,2018-06-22,0.0,0.7878546108190917,,0.38932754100923606,,0.8693797646837299,,0.48340435671755366,0.4806856061833219,0.6354571956579136,0.0006624716908630599
79,2018-06-23,0.0,0.7517860116440311,,0.3510909335936314,,0.8321718868116508,,0.4393217618717722,0.4367532642301927,0.5924035608569649,0.0006419653841703231
80,2018-06-24,1.0,0.7132216109552594,0.7163,0.3153077021306012,0.3223,0.7905531072834291,0.788,0.397255972155552,0.3948545791108017,0.4054276291062159,0.0006150260624271289
81,2018-06-25,0.0,0.6726396911655552,,0.2820943996873818,,0.7453309783955011,,0.3575395117639102,0.35531510845763015,0.36544784719519063,0.0005830303233987568
82,2018-06-26,0.0,0.6305854188363736,,0.25149439402294016,,0.6974543298052418,,0.3203999898572448,0.3183564805352518,0.32796804427183046,0.000547374237960242
83,2018-06-27,0.0,0.5876430647379085,,0.223490258399188,,0.6479326424038103,,0.2859703123703683,0.28410669802614574,0.2931387456182354,0.0005093845978223939
84,2018-06-28,0.0,0.544406900792942,,0.19801610774441303,,0.597762614867178,,0.2543015359692333,0.25261298326479986,0.26102809044341735,0.0004702551129697494
85,2018-06-29,0.0,0.5014533947066719,,0.1749691809233337,,0.5478688882782073,,0.22537684833209237,0.22385568094028707,0.23163504831822934,0.00043100802611986997
86,2018-06-30,0.0,0.459316928566294,,0.15422023052985223,,0.4990621187569998,,0.19912551140190016,0.19776208295230824,0.2049028543829201,0.000392478050508352
87,2018-07-01,0.0,0.41847063446945976,,0.1356224934292538,,0.4520144598717143,,0.17543595041245663,0.1742193805564417,0.18073181964458784,0.0003553136981125759
88,2018-07-02,0.0,0.37931319807794994,,0.11901917520315664,,0.4072503756395568,,0.15416747680664544,0.15308624814663274,0.1589909650213882,0.0003199906281804649
89,2018-07-03,0.0,0.3421617570933043,,0.10424949353842772,,0.3651495626513469,,0.1351603812037816,0.1342028055032486,0.13952817080815516,0.0002868321364515069
90,2018-07-04,1.0,0.30725041608272574,0.3015,0.09115339687092106,0.0922,0.3259584338517505,0.3242,0.11824431976975713,0.11739888798809006,0.12217872134999852,0.0002560328675732118
91,2018-07-05,0.0,0.27473347128908276,,0.0795751138900983,,0.2898068510397994,,0.10324504817345204,0.10250068159674042,0.10677226032714493,0.0002276829194390458
92,2018-07-06,0.0,0.2446922062336273,,0.06936570521361984,,0.25672734139293396,,0.08998964043850921,0.08933586056545029,0.09313826202207842,0.00020179050292580623
93,2018-07-07,0.0,0.21714406365516037,,0.060384787969248954,,0.22667469970610077,,0.07831037553696618,0.07773740930716633,0.08111017695677714,0.00017830212199876079
94,2018-07-08,0.0,0.19205308218614703,,0.05250159310333369,,0.19954453041450448,,0.06804749235932717,0.06754632744601385,0.07052843521082364,0.0001571198246141616
95,2018-07-09,0.0,0.16934065887035588,,0.04559549848862399,,0.17518984717211783,,0.05905101235152166,0.058613415050156936,0.06124249559380146,0.00013811546606366896
96,2018-07-10,0.0,0.14889591478952113,,0.039556161581420723,,0.15343529187577787,,0.05118181563687452,0.05080032166908599,0.05311212038721136,0.00012114216354623705
97,2018-07-11,0.0,0.13058516299002154,,0.03428335568328611,,0.13408885745753152,,0.04431213619284302,0.04398002269000023,0.04600803890735572,0.00010604324621198259
98,2018-07-12,0.0,0.1142601794533522,,0.02968659518362593,,0.11695121355326665,,0.038325618486847346,0.03803686360946468,0.039812142635884396,9.265905529034313e-05
99,2018-07-13,0.0,0.09976514430364491,,0.025684618280803817,,0.10182286223647297,,0.033117054507647015,0.03286628962696014,0.03441733291268412,8.083195236528371e-05
100,2018-07-14,1.0,0.08694224644764859,0.0847,0.022204780961377013,0.0225,0.08850941433372783,0.0875,0.028591897998368587,0.0283743561105384,0.029727121029295867,7.040987045620098e-05
101,2018-07-15,0.0,0.07563603169351973,,0.019182403537736592,,0.07682529513038794,,0.024665632821129546,0.024477095858520426,0.025655061111433453,6.124870571965111e-05
102,2018-07-16,0.0,0.06569662733680892,,0.016560100706743852,,0.06659617762069459,,0.021263055168673883,0.021099802083598296,0.02212407901297997,5.321380580804683e-05
103,2018-07-17,0.0,0.05698200222566385,,0.01428711770023261,,0.057660414069274246,,0.01831751485454558,0.018176271743678085,0.019065745766784103,4.6180769283767264e-05
104,2018-07-18,0.0,0.04935942761285084,,0.012318688411183332,,0.04986970123339507,,0.015770149020343016,0.015648042099157156,0.016419531913754892,4.003573179885482e-05
105,2018-07-19,0.0,0.04270629712790597,,0.010615426144423679,,0.04308917696535386,,0.013569132041066134,0.013463643937325132,0.014132069080326937,3.467528037844744e-05
106,2018-07-20,0.0,0.036910449241950305,,0.009142753615264398,,0.03719710968059331,,0.01166895788102884,0.011577887468987691,0.012156437239307372,3.0006107544612383e-05
107,2018-07-21,0.0,0.03187011665483486,,0.007870375782547678,,0.032084309351150475,,0.01002976533708333,0.009951191158480421,0.010451489885827336,2.5944492145396458e-05
108,2018-07-22,0.0,0.027493606932426196,,0.0067717968602325485,,0.027653360184883624,,0.008616712202996313,0.008548959399996559,0.008981224606543381,2.2415673254830468e-05
109,2018-07-23,0.0,0.02369879929857799,,0.005823881238279149,,0.023817751193038195,,0.007399401127875627,0.007341011733223657,0.007714202953628457,1.9353166897925543e-05
110,2018-07-24,1.0,0.020411905558359256,0.02025,0.005006301641765298,0.00485,0.020500330352421936,0.0195,0.006348008901263524,0.006297595222647168,0.006619551907956378,1.669290864196474e-05
