distribution,lag,probability
serial_interval,79,8.766106502878464e-06
serial_interval,80,7.5042358438506944e-06
serial_interval,81,6.422295941839315e-06
serial_interval,82,5.4949166130969214e-06
serial_interval,83,4.700256865831776e-06
serial_interval,84,4.019522052867546e-06
serial_interval,85,3.4365457117436453e-06
serial_interval,86,2.9374276613625795e-06
serial_interval,87,2.510220982261391e-06
serial_interval,88,2.144661440018717e-06
serial_interval,89,1.831933731787738e-06
serial_interval,90,1.5644696568310912e-06
serial_interval,91,1.3357739444274161e-06
serial_interval,92,1.1402740267284565e-06
serial_interval,93,9.73190529157872e-07
serial_interval,94,8.304256749018534e-07
serial_interval,95,7.084671702233069e-07
serial_interval,96,6.043054602193714e-07
serial_interval,97,5.153625259993815e-07
serial_interval,98,4.3943063919819973e-07
serial_interval,99,3.7461970278154754e-07
serial_interval,100,3.1931199224130607e-07
serial_interval,101,2.7212327204293725e-07
serial_interval,102,2.3186940167565322e-07
serial_interval,103,1.975376665947561e-07
serial_interval,104,1.6826217412714314e-07
serial_interval,105,1.433027451322997e-07
serial_interval,106,1.220268107077538e-07
serial_interval,107,1.0389389110481246e-07
serial_interval,108,8.844229267898894e-08
serial_interval,109,7.527770936257073e-08
serial_interval,110,4.2794850808364546e-07
implied_serial_interval,1,0.005433523419321723
implied_serial_interval,2,0.014001977191908556
implied_serial_interval,3,0.022764177654481764
implied_serial_interval,4,0.03099841170746781
implied_serial_interval,5,0.03797522446380538
implied_serial_interval,6,0.04344200302357061
implied_serial_interval,7,0.04737815467148518
implied_serial_interval,8,0.0498870716770303
implied_serial_interval,9,0.05113425212660519
implied_serial_interval,10,0.05131016529681089
implied_serial_interval,11,0.05060796838318535
implied_serial_interval,12,0.049210552210626375
implied_serial_interval,13,0.04728354948881021
implied_serial_interval,14,0.04497215463726005
implied_serial_interval,15,0.04240034522629808
implied_serial_interval,16,0.03967156940158787
implied_serial_interval,17,0.036870276796026155
implied_serial_interval,18,0.03406388116624121
implied_serial_interval,19,0.03130488636424199
implied_serial_interval,20,0.028633005235565296
implied_serial_interval,21,0.026077167921735624
implied_serial_interval,22,0.023657361406898874
implied_serial_interval,23,0.021386272524715783
implied_serial_interval,24,0.019270726566554035
implied_serial_interval,25,0.017312926283237225
implied_serial_interval,26,0.015511503691610185
implied_serial_interval,27,0.013862401270725983
implied_serial_interval,28,0.012359600984523166
implied_serial_interval,29,0.010995719892904139
implied_serial_interval,30,0.009762490469878983
implied_serial_interval,31,0.008651142525590749
implied_serial_interval,32,0.007652702097021747
implied_serial_interval,33,0.006758221011616601
implied_serial_interval,34,0.0059589491586686935
implied_serial_interval,35,0.005246459900979826
implied_serial_interval,36,0.004612737569136361
implied_serial_interval,37,0.004050234626579086
implied_serial_interval,38,0.0035519048848515356
implied_serial_interval,39,0.003111218084811587
implied_serial_interval,40,0.0027221602349407304
implied_serial_interval,41,0.0023792233023407876
implied_serial_interval,42,0.0020773871738359586
implied_serial_interval,43,0.0018120962313427128
implied_serial_interval,44,0.001579232404925276
implied_serial_interval,45,0.00137508616685708
implied_serial_interval,46,0.0011963265995310513
implied_serial_interval,47,0.0010399713991664
implied_serial_interval,48,0.0009033574569582386
implied_serial_interval,49,0.0007841124816650511
implied_serial_interval,50,0.0006801279856840042
implied_serial_interval,51,0.0005895338444123267
implied_serial_interval,52,0.0005106745509703822
implied_serial_interval,53,0.00044208722076630554
implied_serial_interval,54,0.00038248134918570715
implied_serial_interval,55,0.00033072028775707355
implied_serial_interval,56,0.00028580437685192116
implied_serial_interval,57,0.00024685565414895845
implied_serial_interval,58,0.0002131040459226089
implied_serial_interval,59,0.0001838749412292144
implied_serial_interval,60,0.0001585780460519662
implied_serial_interval,61,0.0001366974144493976
implied_serial_interval,62,0.00011778255594425251
implied_serial_interval,63,0.00010144052216041086
implied_serial_interval,64,8.732888056706492e-05
implied_serial_interval,65,7.514948873097487e-05
implied_serial_interval,66,6.464298840691226e-05
implied_serial_interval,67,5.558394488239223e-05
implied_serial_interval,68,4.777656306231027e-05
implied_serial_interval,69,4.1050917705253615e-05
implied_serial_interval,70,3.525964091599641e-05
implied_serial_interval,71,3.0275015396999157e-05
implied_serial_interval,72,2.5986427027276036e-05
implied_serial_interval,73,2.229813504890461e-05
implied_serial_interval,74,1.9127322492151475e-05
implied_serial_interval,75,1.6402393461999022e-05
implied_serial_interval,76,1.406148755131491e-05
implied_serial_interval,77,1.2051184953611603e-05
implied_serial_interval,78,1.032537883929423e-05
implied_serial_interval,79,8.844294253576134e-06
implied_serial_interval,80,7.57363521302317e-06
implied_serial_interval,81,6.4838438424705786e-06
implied_serial_interval,82,5.5494573261088196e-06
implied_serial_interval,83,4.7485501664880125e-06
implied_serial_interval,84,4.062250772757763e-06
implied_serial_interval,85,3.4743227532468692e-06
implied_serial_interval,86,2.970802484886978e-06
implied_serial_interval,87,2.5396855891159115e-06
implied_serial_interval,88,2.1706558755978777e-06
implied_serial_interval,89,1.854851134944617e-06
implied_serial_interval,90,1.5846608819690723e-06
implied_serial_interval,91,1.3535517830449935e-06
implied_serial_interval,92,1.1559170549813426e-06
implied_serial_interval,93,9.8694660752892e-07
implied_serial_interval,94,8.425151253538368e-07
implied_serial_interval,95,7.19085655306764e-07
implied_serial_interval,96,6.136265875646395e-07
implied_serial_interval,97,5.235402004790312e-07
implied_serial_interval,98,4.4660118383766375e-07
implied_serial_interval,99,3.809037682505957e-07
implied_serial_interval,100,3.248162735009741e-07
implied_serial_interval,101,2.769420494709957e-07
implied_serial_interval,102,2.3608592276432237e-07
implied_serial_interval,103,2.012253831193416e-07
implied_serial_interval,104,1.714858485329608e-07
implied_serial_interval,105,1.461194387865488e-07
implied_serial_interval,106,1.2448676561770657e-07
implied_serial_interval,107,1.06041315716863e-07
implied_serial_interval,108,9.031606144638431e-08
implied_serial_interval,109,7.691198490345629e-08
implied_serial_interval,110,8.115432051905428e-08
implied_serial_interval,111,7.156473184245206e-08
implied_serial_interval,112,5.4667079652602336e-08
implied_serial_interval,113,4.337296429799789e-08
implied_serial_interval,114,3.482529456028449e-08
implied_serial_interval,115,2.8139162884475036e-08
implied_serial_interval,116,2.282741083658863e-08
implied_serial_interval,117,1.856969570341426e-08
implied_serial_interval,118,1.5137121651646167e-08
implied_serial_interval,119,1.2358626916584166e-08
implied_serial_interval,120,1.0102911434022997e-08
implied_serial_interval,121,8.267458367842026e-09
implied_serial_interval,122,6.771293152183306e-09
implied_serial_interval,123,5.549930187794793e-09
implied_serial_interval,124,4.551704397345215e-09
implied_serial_interval,125,3.735032350676619e-09
implied_serial_interval,126,3.0663253712409065e-09
implied_serial_interval,127,2.5183752977271967e-09
implied_serial_interval,128,2.069091586595594e-09
implied_serial_interval,129,1.7005046240538471e-09
implied_serial_interval,130,1.3979737462827763e-09
implied_serial_interval,131,1.1495545021590835e-09
implied_serial_interval,132,9.454909254818851e-10
implied_serial_interval,133,7.778066610707325e-10
implied_serial_interval,134,6.399747239676829e-10
implied_serial_interval,135,5.266501095284329e-10
implied_serial_interval,136,4.3345284036030196e-10
implied_serial_interval,137,3.567916228344433e-10
implied_serial_interval,138,2.937202923571281e-10
implied_serial_interval,139,2.418207957951769e-10
implied_serial_interval,140,1.991076951706295e-10
implied_serial_interval,141,1.6395015547898447e-10
implied_serial_interval,142,1.3500815847411978e-10
implied_serial_interval,143,1.1118030684038374e-10
implied_serial_interval,144,9.156108250630653e-11
implied_serial_interval,145,7.540582456011218e-11
implied_serial_interval,146,6.210201624173155e-11
implied_serial_interval,147,5.114573243130083e-11
implied_serial_interval,148,4.2122311242050103e-11
implied_serial_interval,149,3.469048550785523e-11
implied_serial_interval,150,2.8569349890205588e-11
implied_serial_interval,151,2.352765321058866e-11
implied_serial_interval,152,1.9374998405202672e-11
