date,day,model,risk_of_additional_cases,monte_carlo_standard_error
2018-06-22,78,dlo,0.9183900742902703,0.0007559449408678109
2018-06-23,79,dlo,0.8914814428418694,0.00030615179925868387
2018-06-24,80,dlo,0.8634051679816157,0.0009064828998120899
2018-06-25,81,dlo,0.8282667863003599,0.0016209653305818343
2018-06-26,82,dlo,0.7923567840370602,0.0006597678294031102
2018-06-27,83,dlo,0.7513715057662436,0.002076275881534989
2018-06-28,84,dlo,0.7058895814330786,0.0019431694787480228
2018-06-29,85,dlo,0.6607015653088139,0.0009453875599925868
2018-06-30,86,dlo,0.6114177300420699,0.0008273363037327268
2018-07-01,87,dlo,0.5649383587193093,0.001007447781708571
2018-07-02,88,dlo,0.5162090839572477,0.0008180320208110943
2018-07-03,89,dlo,0.4711710819884166,0.0010343135000562647
2018-07-04,90,dlo,0.42475097653627614,0.0013138486074885539
2018-07-05,91,dlo,0.38473817684254663,0.0005644286649874494
2018-07-06,92,dlo,0.3437494579166548,0.0012218998402950586
2018-07-07,93,dlo,0.30749022381672375,0.0009687192938184984
2018-07-08,94,dlo,0.27501385609087614,0.0007970724096366114
2018-07-09,95,dlo,0.24317485882817802,0.0006982169436086976
2018-07-10,96,dlo,0.21493991983021665,0.0005869666545995692
2018-07-11,97,dlo,0.18877373686661003,0.0009626853389531401
2018-07-12,98,dlo,0.16581946884370913,0.0005317101852446337
2018-07-13,99,dlo,0.1448096133281096,0.00043058607334183293
2018-07-14,100,dlo,0.12687837761897325,0.0007345645502727517
2018-07-15,101,dlo,0.11029704094274939,0.0004046271987956869
2018-07-16,102,dlo,0.09616253994836566,0.0001588353701971959
2018-07-17,103,dlo,0.0833435580363403,0.0004523139678750971
2018-07-18,104,dlo,0.07256509385374232,0.00042239897581714263
2018-07-19,105,dlo,0.06266769336077327,0.0002347301955198605
2018-07-20,106,dlo,0.0541666732835594,0.00015050103083045523
2018-07-21,107,dlo,0.046937765114276164,0.00016143959385262025
2018-07-22,108,dlo,0.040768862544036444,8.514071920584036e-05
2018-07-23,109,dlo,0.03488099165409819,6.811250095449604e-05
2018-07-24,110,dlo,0.030168380900558955,0.00018557984745651645
2018-07-25,111,dlo,0.025899563781766943,7.589032639978835e-05
2018-07-26,112,dlo,0.02241162141581099,0.00011316503119809911
2018-07-27,113,dlo,0.019298311986528982,9.788911744346843e-05
2018-07-28,114,dlo,0.01640741380465549,6.178570411022217e-05
2018-07-29,115,dlo,0.014155291199422826,3.8339953698682025e-05
2018-07-30,116,dlo,0.01221247455165464,8.304390022508992e-05
2018-07-31,117,dlo,0.010448753383481613,4.4858948377405914e-05
2018-08-01,118,dlo,0.008982916381162664,3.9781807846549256e-05
2018-08-02,119,dlo,0.007684823188778278,1.8926111669884902e-05
2018-08-03,120,dlo,0.006568377863620856,2.799847609074143e-05
2018-08-04,121,dlo,0.0056895844699142994,1.974520767285298e-05
2018-08-05,122,dlo,0.0048528094437290115,2.747024400510571e-05
2018-08-06,123,dlo,0.0041512032579653635,6.426035531232223e-06
2018-08-07,124,dlo,0.003528904333503502,9.33385125166496e-06
2018-08-08,125,dlo,0.003030499950927301,8.339948531702035e-06
2018-08-09,126,dlo,0.002582802002023654,4.799068857780801e-06
2018-08-10,127,dlo,0.0022375703470151054,5.168998000901498e-06
2018-08-11,128,dlo,0.0018892145309279407,6.720479733593648e-06
2018-08-12,129,dlo,0.0016156555215649515,6.336056034033896e-06
2018-08-13,130,dlo,0.001372156078927711,7.769237547861965e-06
